state,naics_sector,ai_firms_tested_but_did_not_use_in_production_or_service,ai_firms_did_not_use,ai_firms_low_use,ai_firms_moderate_use,ai_firms_high_use,ai_firms_dont_know,ai_firms_any_use,ai_firms_total,ai_adoption_rate
01,11,0,0,0,0,0,0,0,0,NA
02,11,0,0,0,0,0,0,0,0,NA
04,11,0,0,0,0,0,0,0,0,NA
05,11,0,473,0,0,0,0,0,473,0
06,11,0,2285,0,0,0,0,0,2285,0
08,11,0,0,0,0,0,0,0,0,NA
09,11,0,0,0,0,0,0,0,0,NA
10,11,0,0,0,0,0,0,0,0,NA
11,11,0,0,0,0,0,0,0,0,NA
12,11,0,890,0,0,0,0,0,890,0
13,11,0,0,0,0,0,0,0,0,NA
15,11,0,0,0,0,0,0,0,0,NA
16,11,0,0,0,0,0,0,0,0,NA
17,11,0,0,0,0,0,0,0,0,NA
18,11,0,0,0,0,0,0,0,0,NA
19,11,0,587,0,0,0,0,0,587,0
20,11,0,0,0,0,0,0,0,0,NA
21,11,0,0,0,0,0,0,0,0,NA
22,11,0,436,0,0,0,0,0,436,0
24,11,0,0,0,0,0,0,0,0,NA
23,11,0,635,0,0,0,0,0,635,0
25,11,0,0,0,0,0,0,0,0,NA
26,11,0,0,0,0,0,0,0,0,NA
27,11,0,0,0,0,0,0,0,0,NA
28,11,0,351,0,0,0,0,0,351,0
29,11,0,0,0,0,0,0,0,0,NA
30,11,0,0,0,0,0,0,0,0,NA
31,11,0,0,0,0,0,0,0,0,NA
32,11,0,0,0,0,0,0,0,0,NA
34,11,0,0,0,0,0,0,0,0,NA
33,11,0,0,0,0,0,0,0,0,NA
36,11,0,617,0,0,0,0,0,617,0
35,11,0,0,0,0,0,0,0,0,NA
37,11,0,498,0,0,0,0,0,498,0
38,11,0,0,0,0,0,0,0,0,NA
39,11,0,0,0,0,0,0,0,0,NA
40,11,0,0,0,0,0,0,0,0,NA
41,11,0,1281,0,0,0,0,0,1281,0
42,11,0,0,0,0,0,0,0,0,NA
45,11,0,0,0,0,0,0,0,0,NA
44,11,0,0,0,0,0,0,0,0,NA
46,11,0,0,0,0,0,0,0,0,NA
47,11,0,0,0,0,0,0,0,0,NA
48,11,0,1050,0,0,0,0,0,1050,0
49,11,0,0,0,0,0,0,0,0,NA
50,11,0,0,0,0,0,0,0,0,NA
53,11,0,1242,0,0,0,0,0,1242,0
51,11,0,0,0,0,0,0,0,0,NA
54,11,0,0,0,0,0,0,0,0,NA
55,11,0,835,0,0,0,0,0,835,0
56,11,0,0,0,0,0,0,0,0,NA
01,21,0,54,0,0,0,0,0,54,0
02,21,0,68,0,0,0,0,0,68,0
04,21,0,81,0,0,0,0,0,81,0
05,21,0,279,0,0,0,0,0,279,0
06,21,0,288,0,0,0,0,0,288,0
08,21,0,637,0,0,0,30,0,637,0
09,21,0,0,0,0,0,0,0,0,NA
10,21,0,0,0,0,0,0,0,0,NA
11,21,0,0,0,0,0,0,0,0,NA
12,21,0,107,0,0,0,0,0,107,0
13,21,0,56,0,0,0,0,0,56,0
15,21,0,0,0,0,0,0,0,0,NA
16,21,0,41,0,0,0,0,0,41,0
17,21,0,390,0,0,0,0,0,390,0
18,21,0,85,0,0,0,0,0,85,0
19,21,0,46,0,0,0,0,0,46,0
20,21,0,0,0,0,0,0,0,0,NA
21,21,0,322,0,0,0,0,0,322,0
22,21,0,954,0,0,0,24,0,954,0
24,21,0,0,0,0,0,0,0,0,NA
23,21,0,0,0,0,0,0,0,0,NA
25,21,0,0,0,0,0,0,0,0,NA
26,21,0,225,0,0,0,0,0,225,0
27,21,0,98,0,0,0,0,0,98,0
28,21,0,218,0,0,0,0,0,218,0
29,21,0,123,0,0,0,0,0,123,0
30,21,0,187,0,0,0,0,0,187,0
31,21,0,73,0,0,0,0,0,73,0
32,21,0,124,0,0,0,0,0,124,0
34,21,0,24,0,0,0,0,0,24,0
33,21,0,0,0,0,0,0,0,0,NA
36,21,0,139,0,0,0,0,0,139,0
35,21,0,367,0,0,0,0,0,367,0
37,21,0,63,0,0,0,0,0,63,0
38,21,0,290,0,0,0,19,0,290,0
39,21,0,326,0,0,0,0,0,326,0
40,21,0,2000,0,0,0,30,0,2000,0
41,21,0,62,0,0,0,0,0,62,0
42,21,0,548,0,0,0,0,0,548,0
45,21,0,0,0,0,0,0,0,0,NA
44,21,0,0,0,0,0,0,0,0,NA
46,21,0,32,0,0,0,0,0,32,0
47,21,0,137,0,0,0,0,0,137,0
48,21,0,4312,77,0,0,227,77,4389,0.017543859649122806
49,21,0,261,0,0,0,0,0,261,0
50,21,0,0,0,0,0,0,0,0,NA
53,21,0,77,0,0,0,0,0,77,0
51,21,0,127,0,0,0,0,0,127,0
54,21,0,226,0,0,0,0,0,226,0
55,21,0,0,0,0,0,0,0,0,NA
56,21,0,447,0,0,0,25,0,447,0
01,22,0,28,0,0,0,0,0,28,0
02,22,0,19,0,0,0,0,0,19,0
04,22,0,121,0,0,0,0,0,121,0
05,22,0,28,0,0,0,0,0,28,0
06,22,0,214,0,0,0,35,0,214,0
08,22,0,79,0,0,0,0,0,79,0
09,22,0,21,0,0,0,0,0,21,0
10,22,0,0,0,0,0,0,0,0,NA
11,22,0,14,0,0,0,0,0,14,0
12,22,0,0,0,0,0,0,0,0,NA
13,22,0,63,0,0,0,0,0,63,0
15,22,0,0,0,0,0,0,0,0,NA
16,22,0,69,0,0,0,0,0,69,0
17,22,0,59,0,0,0,0,0,59,0
18,22,0,39,0,0,0,0,0,39,0
19,22,0,0,0,0,0,0,0,0,NA
20,22,0,28,0,0,0,0,0,28,0
21,22,0,43,0,0,0,0,0,43,0
22,22,0,59,0,0,0,0,0,59,0
24,22,0,34,0,0,0,0,0,34,0
23,22,0,25,0,0,0,0,0,25,0
25,22,0,36,0,0,0,0,0,36,0
26,22,0,47,0,0,0,0,0,47,0
27,22,0,53,0,0,0,0,0,53,0
28,22,0,71,0,0,0,0,0,71,0
29,22,0,31,0,0,0,0,0,31,0
30,22,0,0,0,0,0,0,0,0,NA
31,22,0,0,0,0,0,0,0,0,NA
32,22,0,0,0,0,0,0,0,0,NA
34,22,0,44,0,0,0,0,0,44,0
33,22,0,30,0,0,0,0,0,30,0
36,22,0,158,0,0,0,31,0,158,0
35,22,0,37,0,0,0,0,0,37,0
37,22,0,74,0,0,0,0,0,74,0
38,22,0,19,0,0,0,0,0,19,0
39,22,0,71,0,0,0,0,0,71,0
