state,NAICS2017,barrier,n_firms,n_emp
01,00,No factors adversely affected the adoption of this technology,26359,700161
01,00,Technology was too expensive,4374,125847
01,00,Technology was not mature,1122,107838
01,00,Laws and regulations,408,27377
01,00,Lacked access to required data,625,44216
01,00,Required data not reliable,233,49877
01,00,Lacked access to required human capital and talent,671,79821
01,00,Concerns regarding safety and security (physical security and/or cyber security),601,111700
01,00,Lacked access to capital,870,34773
01,00,Technology not applicable to this business,25322,511179
02,00,Technology was too expensive,797,15516
02,00,Technology was not mature,327,28045
02,00,Lacked access to required data,76,4434
02,00,Required data not reliable,102,5439
02,00,Lacked access to required human capital and talent,167,4381
02,00,Laws and regulations,113,3892
02,00,Concerns regarding safety and security (physical security and/or cyber security),199,9409
02,00,Lacked access to capital,187,1508
02,00,Technology not applicable to this business,6561,99408
02,00,No factors adversely affected the adoption of this technology,4996,88374
04,00,Technology was too expensive,6080,173623
04,00,Technology was not mature,2175,176549
04,00,Lacked access to required data,751,56739
04,00,Required data not reliable,571,65295
04,00,Lacked access to required human capital and talent,1349,91958
04,00,Technology not applicable to this business,41285,767921
04,00,Laws and regulations,625,44818
04,00,Concerns regarding safety and security (physical security and/or cyber security),1202,131370
04,00,Lacked access to capital,1682,46648
04,00,No factors adversely affected the adoption of this technology,35258,701797
05,00,Technology was too expensive,3066,69669
05,00,Technology was not mature,1086,69587
05,00,Lacked access to required data,385,17145
05,00,Required data not reliable,244,17013
05,00,Lacked access to capital,504,10009
05,00,Lacked access to required human capital and talent,477,22094
05,00,Laws and regulations,357,9330
05,00,Concerns regarding safety and security (physical security and/or cyber security),593,102658
05,00,Technology not applicable to this business,18518,332576
05,00,No factors adversely affected the adoption of this technology,18255,384387
06,00,Technology was too expensive,52248,1059383
06,00,Technology was not mature,17155,980920
06,00,Lacked access to required data,6821,422166
06,00,Required data not reliable,4621,424265
06,00,Lacked access to required human capital and talent,8869,465535
06,00,Laws and regulations,5611,320490
06,00,Concerns regarding safety and security (physical security and/or cyber security),7430,421829
06,00,Lacked access to capital,10091,241722
06,00,Technology not applicable to this business,281095,4565527
06,00,No factors adversely affected the adoption of this technology,243683,4576343
08,00,Technology was too expensive,7738,178228
08,00,Technology was not mature,3531,146814
08,00,Lacked access to required data,1128,55986
08,00,Required data not reliable,702,67609
08,00,Lacked access to required human capital and talent,1938,102378
08,00,Laws and regulations,718,37811
08,00,Concerns regarding safety and security (physical security and/or cyber security),1463,88658
08,00,Lacked access to capital,1861,31943
08,00,Technology not applicable to this business,55736,777017
08,00,No factors adversely affected the adoption of this technology,52616,797006
09,00,Lacked access to required human capital and talent,585,53267
09,00,Laws and regulations,384,27164
09,00,Concerns regarding safety and security (physical security and/or cyber security),657,53273
09,00,Lacked access to capital,1031,16497
09,00,Technology not applicable to this business,26278,363599
09,00,No factors adversely affected the adoption of this technology,23078,430592
09,00,Technology was too expensive,4243,95109
09,00,Technology was not mature,1635,67688
09,00,Lacked access to required data,752,35844
09,00,Required data not reliable,490,38256
10,00,Technology was too expensive,1119,37629
10,00,Technology was not mature,537,31891
10,00,Lacked access to required data,142,13357
10,00,Required data not reliable,93,13510
10,00,Lacked access to required human capital and talent,202,12492
10,00,Laws and regulations,241,6429
10,00,Concerns regarding safety and security (physical security and/or cyber security),198,11181
10,00,Lacked access to capital,182,2200
10,00,Technology not applicable to this business,6372,92876
10,00,No factors adversely affected the adoption of this technology,6867,129254
11,00,Technology was too expensive,863,18162
11,00,Technology was not mature,670,31589
11,00,Lacked access to required data,166,6271
11,00,Required data not reliable,125,5695
11,00,Lacked access to required human capital and talent,232,8839
11,00,Laws and regulations,43,5706
11,00,No factors adversely affected the adoption of this technology,3397,82647
11,00,Concerns regarding safety and security (physical security and/or cyber security),151,9502
11,00,Lacked access to capital,164,4302
11,00,Technology not applicable to this business,4629,109252
12,00,Technology was too expensive,28306,572169
12,00,Technology was not mature,7243,419579
12,00,Lacked access to required data,2676,145950
