state,naics_sector,motivation,n_firms,n_emp
01,00,To automate tasks performed by labor,541,122269
01,00,To upgrade outdated processes or methods,830,89416
01,00,To improve quality or reliability of processes or methods,1190,157909
01,00,To expand the range of goods or services,598,44250
01,00,To adopt standards and accreditation,251,15942
01,00,Some other reason,119,22204
02,00,To upgrade outdated processes or methods,254,8099
02,00,To automate tasks performed by labor,241,10437
02,00,To improve quality or reliability of processes or methods,314,12292
02,00,To expand the range of goods or services,196,6450
02,00,To adopt standards and accreditation,97,3734
02,00,Some other reason,88,3578
04,00,To automate tasks performed by labor,878,159446
04,00,To upgrade outdated processes or methods,943,126572
04,00,Some other reason,584,13895
04,00,To improve quality or reliability of processes or methods,1513,213585
04,00,To expand the range of goods or services,430,79523
04,00,To adopt standards and accreditation,428,26861
05,00,To automate tasks performed by labor,396,118676
05,00,To upgrade outdated processes or methods,513,49956
05,00,To improve quality or reliability of processes or methods,736,142569
05,00,To expand the range of goods or services,245,25853
05,00,To adopt standards and accreditation,166,5141
05,00,Some other reason,131,7558
06,00,To automate tasks performed by labor,6953,758399
06,00,To upgrade outdated processes or methods,7793,798696
06,00,To improve quality or reliability of processes or methods,11019,1027905
06,00,To expand the range of goods or services,6183,477978
06,00,To adopt standards and accreditation,2301,135273
06,00,Some other reason,3207,117561
08,00,To automate tasks performed by labor,1412,155374
08,00,To upgrade outdated processes or methods,1711,118576
08,00,To improve quality or reliability of processes or methods,2459,201027
08,00,To expand the range of goods or services,921,87046
08,00,To adopt standards and accreditation,374,16754
08,00,Some other reason,865,15862
09,00,To automate tasks performed by labor,583,53969
09,00,To upgrade outdated processes or methods,614,65419
09,00,To improve quality or reliability of processes or methods,799,68840
09,00,To expand the range of goods or services,366,26226
09,00,To adopt standards and accreditation,137,12590
09,00,Some other reason,183,15100
10,00,To automate tasks performed by labor,232,21789
10,00,To upgrade outdated processes or methods,497,21511
10,00,To improve quality or reliability of processes or methods,606,30829
10,00,To expand the range of goods or services,207,12225
10,00,To adopt standards and accreditation,127,5285
10,00,Some other reason,185,3186
11,00,To adopt standards and accreditation,93,7498
11,00,Some other reason,62,769
11,00,To automate tasks performed by labor,365,21357
11,00,To upgrade outdated processes or methods,394,21840
11,00,To improve quality or reliability of processes or methods,551,26056
11,00,To expand the range of goods or services,227,14568
12,00,To automate tasks performed by labor,2993,359146
12,00,To upgrade outdated processes or methods,4009,277829
12,00,To improve quality or reliability of processes or methods,5988,489809
12,00,To expand the range of goods or services,3084,151761
12,00,To adopt standards and accreditation,1386,48106
12,00,Some other reason,2432,41569
13,00,To automate tasks performed by labor,1634,249116
13,00,To upgrade outdated processes or methods,1752,224931
13,00,To improve quality or reliability of processes or methods,2631,321766
13,00,To expand the range of goods or services,1198,143343
13,00,To adopt standards and accreditation,544,22893
13,00,Some other reason,746,34456
15,00,To automate tasks performed by labor,274,16042
15,00,To adopt standards and accreditation,58,1655
15,00,To upgrade outdated processes or methods,195,12856
15,00,To improve quality or reliability of processes or methods,323,18382
15,00,To expand the range of goods or services,67,7536
15,00,Some other reason,137,1591
16,00,To adopt standards and accreditation,84,7756
16,00,Some other reason,80,1705
16,00,To automate tasks performed by labor,390,28390
16,00,To upgrade outdated processes or methods,278,15645
16,00,To improve quality or reliability of processes or methods,430,34310
16,00,To expand the range of goods or services,237,6717
17,00,To automate tasks performed by labor,1771,396960
17,00,To upgrade outdated processes or methods,2446,399735
17,00,To improve quality or reliability of processes or methods,3488,499121
17,00,To expand the range of goods or services,1379,190560
17,00,To adopt standards and accreditation,871,55316
17,00,Some other reason,1101,45105
18,00,To automate tasks performed by labor,843,249295
18,00,To upgrade outdated processes or methods,1414,183141
18,00,To improve quality or reliability of processes or methods,1412,265855
18,00,To expand the range of goods or services,766,109580
18,00,To adopt standards and accreditation,474,58696
18,00,Some other reason,495,28617
19,00,To automate tasks performed by labor,543,122195
19,00,To upgrade outdated processes or methods,835,104159
19,00,To improve quality or reliability of processes or methods,868,151580
19,00,To expand the range of goods or services,462,52193
