state,naics_sector,produced,n_firms,n_emp
01,00,Yes,385,18936
01,00,No,53857,1233245
01,00,Don't know,3639,166914
02,00,Yes,25,908
02,00,No,12141,183064
02,00,Don't know,505,33817
04,00,Yes,253,22740
04,00,No,81027,1498115
04,00,Don't know,4128,238163
05,00,Yes,130,13839
05,00,No,38936,721922
05,00,Don't know,2256,102512
06,00,Yes,3748,333466
06,00,No,553695,9310011
06,00,Don't know,38282,1581279
08,00,Yes,587,29950
08,00,No,113486,1673728
08,00,Don't know,5461,188452
09,00,Yes,306,15331
09,00,No,51613,847297
09,00,Don't know,3331,138329
10,00,Yes,149,5216
10,00,No,14061,251962
10,00,Don't know,849,25486
11,00,No,8734,202983
11,00,Yes,117,5586
11,00,Don't know,645,30018
12,00,Yes,1390,76598
12,00,No,331228,5028347
12,00,Don't know,19227,580243
13,00,Yes,708,70560
13,00,No,131332,2435666
13,00,Don't know,8160,380879
15,00,Don't know,1143,25651
15,00,Yes,99,2302
15,00,No,17808,292238
16,00,Yes,115,2461
16,00,No,34188,392828
16,00,Don't know,1208,52674
17,00,Yes,1129,93877
17,00,No,194195,3455508
17,00,Don't know,12224,532600
18,00,Yes,400,15968
18,00,No,88750,1965625
18,00,Don't know,4855,229633
19,00,Yes,169,35614
19,00,No,53526,965730
19,00,Don't know,2678,121263
20,00,No,46869,763509
20,00,Yes,425,17507
20,00,Don't know,2605,164706
21,00,Yes,192,38893
21,00,No,52869,1045852
21,00,Don't know,3652,152517
22,00,Yes,204,23452
22,00,No,56245,1167264
22,00,Don't know,3929,124895
24,00,Yes,543,37860
24,00,No,81755,1403096
24,00,Don't know,4848,177684
23,00,Yes,92,1903
23,00,No,24721,319991
23,00,Don't know,752,36336
25,00,Yes,449,55404
25,00,No,102504,1717726
25,00,Don't know,5406,299258
26,00,Yes,647,113630
26,00,No,135197,2590671
26,00,Don't know,7944,283474
27,00,Don't know,4546,158893
27,00,Yes,353,32236
27,00,No,98079,1738013
28,00,Yes,304,12227
28,00,No,30667,631773
28,00,Don't know,2293,81857
29,00,Yes,227,56918
29,00,No,85975,1629175
29,00,Don't know,4273,216396
30,00,Yes,134,2045
30,00,No,26929,268657
30,00,Don't know,1149,26715
31,00,Yes,110,6083
31,00,No,38481,627528
31,00,Don't know,2386,73990
32,00,Yes,188,8726
32,00,No,36711,885675
32,00,Don't know,2232,104745
34,00,Yes,873,70264
34,00,No,135607,2146815
34,00,Don't know,9783,371779
33,00,Yes,80,7568
33,00,No,24105,378789
33,00,Don't know,1082,50689
36,00,Yes,963,115531
36,00,No,295144,4180188
36,00,Don't know,23797,706007
35,00,Yes,181,5752
35,00,No,24728,389860
35,00,Don't know,988,70196
37,00,Don't know,6918,396288
37,00,Yes,908,56921
37,00,No,143457,2530045
38,00,Yes,85,7419
38,00,No,17034,246797
38,00,Don't know,693,15670
39,00,Yes,745,59524
39,00,No,144675,2995898
39,00,Don't know,7729,515596
40,00,Yes,290,18202
40,00,No,54953,923353
40,00,Don't know,2729,108013
41,00,Yes,291,15414
41,00,No,77560,1157551
41,00,Don't know,3364,125285
42,00,Yes,639,59592
42,00,No,176667,3325243
42,00,Don't know,10179,411759
45,00,Yes,171,29578
45,00,No,63183,1172766
45,00,Don't know,3417,336892
44,00,Don't know,734,31957
44,00,Yes,51,3479
44,00,No,16505,243342
46,00,Yes,105,1420
46,00,No,18561,232962
46,00,Don't know,787,22354
47,00,No,72613,1777897
47,00,Yes,333,30435
47,00,Don't know,3687,260914
48,00,Yes,1966,173765
48,00,No,308463,6706740
48,00,Don't know,17306,1019688
49,00,Yes,362,33816
49,00,No,53097,857571
49,00,Don't know,2909,83847
50,00,Yes,30,463
50,00,No,13614,147856
50,00,Don't know,549,14674
53,00,Yes,930,117785
53,00,No,117826,1789021
53,00,Don't know,6335,356315
51,00,Yes,712,60403
51,00,No,117923,2187619
51,00,Don't know,6377,321814
54,00,Yes,55,1132
54,00,No,19727,358529
54,00,Don't know,1356,34320
55,00,Yes,257,51950
55,00,No,94688,1869868
55,00,Don't know,4210,160273
56,00,Yes,40,2244
56,00,No,13703,167928
56,00,Don't know,623,12206
01,11,Yes,0,0
01,11,No,567,5103
01,11,Don't know,0,0
02,11,Yes,0,0
02,11,No,0,0
02,11,Don't know,0,0
04,11,Yes,0,0
04,11,No,0,0
04,11,Don't know,0,0
05,11,Yes,0,0
05,11,No,0,0
05,11,Don't know,0,0
06,11,Yes,0,0
06,11,No,2334,300819
06,11,Don't know,0,0
08,11,Yes,0,0
08,11,No,0,0
08,11,Don't know,0,0
09,11,Yes,0,0
09,11,No,0,0
09,11,Don't know,0,0
10,11,Yes,0,0
10,11,No,0,0
10,11,Don't know,0,0
11,11,Yes,0,0
11,11,No,0,0
11,11,Don't know,0,0
12,11,Yes,0,0
12,11,No,932,5387
12,11,Don't know,0,0
13,11,Yes,0,0
13,11,No,0,0
13,11,Don't know,0,0
15,11,Yes,0,0
15,11,No,0,0
15,11,Don't know,0,0
16,11,Yes,0,0
16,11,No,0,0
16,11,Don't know,0,0
17,11,Yes,0,0
17,11,No,352,1599
17,11,Don't know,0,0
18,11,Yes,0,0
18,11,No,0,0
18,11,Don't know,0,0
19,11,Yes,0,0
19,11,No,588,1540
19,11,Don't know,0,0
20,11,Yes,0,0
20,11,No,0,0
20,11,Don't know,0,0
21,11,Yes,0,0
21,11,No,0,0
21,11,Don't know,0,0
22,11,Don't know,0,0
22,11,Yes,0,0
22,11,No,439,2749
24,11,Yes,0,0
24,11,No,0,0
24,11,Don't know,0,0
23,11,Yes,0,0
23,11,No,633,3345
23,11,Don't know,0,0
25,11,Yes,0,0
25,11,No,0,0
25,11,Don't know,0,0
26,11,Yes,0,0
26,11,No,0,0
26,11,Don't know,0,0
27,11,Yes,0,0
27,11,No,0,0
27,11,Don't know,0,0
28,11,No,352,2754
28,11,Yes,0,0
28,11,Don't know,0,0
29,11,Yes,0,0
29,11,No,0,0
29,11,Don't know,0,0
30,11,Yes,0,0
30,11,No,0,0
30,11,Don't know,0,0
31,11,Yes,0,0
31,11,No,0,0
31,11,Don't know,0,0
32,11,Yes,0,0
32,11,No,0,0
32,11,Don't know,0,0
34,11,Yes,0,0
34,11,No,0,0
34,11,Don't know,0,0
33,11,Yes,0,0
33,11,No,0,0
33,11,Don't know,0,0
36,11,Yes,0,0
36,11,No,579,1748
36,11,Don't know,0,0
35,11,Yes,0,0
35,11,No,0,0
35,11,Don't know,0,0
37,11,Yes,0,0
37,11,No,504,2313
37,11,Don't know,0,0
38,11,Yes,0,0
38,11,No,0,0
38,11,Don't know,0,0
39,11,Yes,0,0
39,11,No,0,0
39,11,Don't know,0,0
40,11,Yes,0,0
40,11,No,0,0
40,11,Don't know,0,0
41,11,Yes,0,0
41,11,No,1239,23716
41,11,Don't know,0,0
42,11,Yes,0,0
42,11,No,0,0
42,11,Don't know,0,0
45,11,Yes,0,0
45,11,No,0,0
45,11,Don't know,0,0
44,11,Yes,0,0
44,11,No,0,0
44,11,Don't know,0,0
46,11,Yes,0,0
46,11,No,0,0
46,11,Don't know,0,0
47,11,Yes,0,0
47,11,No,0,0
47,11,Don't know,0,0
48,11,Yes,0,0
48,11,No,1151,8355
48,11,Don't know,0,0
49,11,Yes,0,0
49,11,No,0,0
49,11,Don't know,0,0
50,11,Yes,0,0
50,11,No,0,0
50,11,Don't know,0,0
53,11,Yes,0,0
53,11,No,1287,15677
53,11,Don't know,0,0
51,11,Don't know,0,0
51,11,Yes,0,0
51,11,No,744,6212
54,11,Yes,0,0
54,11,No,0,0
54,11,Don't know,0,0
55,11,Yes,0,0
55,11,No,838,4222
55,11,Don't know,0,0
