state,naics_sector,impact,n_firms,n_emp
01,00,Increased number of workers employed by this business,348,82800
01,00,Decreased number of workers employed by this business,88,4332
01,00,Did not change skill level of workers employed by this business,920,68846
01,00,Did not change number of workers employed by this business,1422,108964
01,00,Increased skill level of workers employed by this business,930,127201
01,00,Decreased skill level of workers employed by this business,0,0
01,00,Increased STEM skills of workers employed by this business,891,125334
01,00,Decreased STEM skills of workers employed by this business,0,0
01,00,Did not change STEM skills of workers employed by this business,675,47063
01,00,"Not applicable, did not employ workers with STEM skills",290,23698
02,00,Decreased number of workers employed by this business,0,0
02,00,Increased number of workers employed by this business,57,4363
02,00,Did not change number of workers employed by this business,351,9416
02,00,Increased skill level of workers employed by this business,263,10006
02,00,Decreased skill level of workers employed by this business,0,0
02,00,Did not change skill level of workers employed by this business,156,4176
02,00,Increased STEM skills of workers employed by this business,129,9772
02,00,Decreased STEM skills of workers employed by this business,0,0
02,00,Did not change STEM skills of workers employed by this business,144,3719
02,00,"Not applicable, did not employ workers with STEM skills",146,691
04,00,Increased number of workers employed by this business,471,98901
04,00,Decreased number of workers employed by this business,175,6054
04,00,Did not change number of workers employed by this business,2233,137686
04,00,Did not change skill level of workers employed by this business,1897,114732
04,00,Increased skill level of workers employed by this business,938,127676
04,00,Decreased skill level of workers employed by this business,0,0
04,00,Increased STEM skills of workers employed by this business,965,132907
04,00,Decreased STEM skills of workers employed by this business,0,0
04,00,Did not change STEM skills of workers employed by this business,1228,96468
04,00,"Not applicable, did not employ workers with STEM skills",681,13108
05,00,Increased number of workers employed by this business,227,99221
05,00,Decreased number of workers employed by this business,76,4308
05,00,Did not change number of workers employed by this business,928,49563
05,00,Increased skill level of workers employed by this business,529,118863
05,00,Decreased skill level of workers employed by this business,0,0
05,00,Did not change skill level of workers employed by this business,698,34220
05,00,Increased STEM skills of workers employed by this business,531,117946
05,00,Decreased STEM skills of workers employed by this business,0,0
05,00,Did not change STEM skills of workers employed by this business,391,29569
05,00,"Not applicable, did not employ workers with STEM skills",311,5576
06,00,Increased number of workers employed by this business,3468,451977
06,00,Decreased number of workers employed by this business,1972,113438
06,00,Did not change number of workers employed by this business,15724,672443
06,00,Increased skill level of workers employed by this business,9128,675573
06,00,Decreased skill level of workers employed by this business,461,48553
06,00,Did not change skill level of workers employed by this business,11576,513731
06,00,Increased STEM skills of workers employed by this business,7269,667812
06,00,Decreased STEM skills of workers employed by this business,356,26405
06,00,Did not change STEM skills of workers employed by this business,7938,451353
06,00,"Not applicable, did not employ workers with STEM skills",5600,92288
08,00,Increased number of workers employed by this business,644,79600
08,00,Decreased number of workers employed by this business,209,9339
08,00,Did not change number of workers employed by this business,3863,142092
