year,state,naics_sector,naics_label,n_emp,n_firms,payroll,revenue,avg_wage,revenue_per_firm
2017,01,11,Agriculture,6942,839,272484,1387005,39251.51253241141,1653.1644815256257
2017,01,21,Mining,5174,160,353759,2312798,68372.43911867027,14454.9875
2017,01,22,Utilities,13552,110,1308714,9627018,96569.8051948052,87518.34545454546
2017,01,23,Construction,82349,7474,3934806,21888777,47782.0738563917,2928.656275086968
2017,01,31-33,Manufacturing,258510,3831,13705403,141329034,53016.916173455575,36890.898981989034
2017,01,42,Wholesale Trade,73212,4000,4002769,78145913,54673.673714691584,19536.47825
2017,01,44-45,Retail Trade,230284,10897,5900005,62915273,25620.559830470203,5773.632467651647
2017,01,48-49,Transportation,59778,2492,2703511,8739669,45225.8523202516,3507.0902889245585
2017,01,51,Information,38168,798,2279532,12059681,59723.64284217145,15112.382205513784
2017,01,52,Finance and Insurance,74267,3091,4894220,28298081,65900.33258378554,9154.992235522484
2017,01,53,Real Estate,22785,3166,928097,6372675,40732.80667105552,2012.8474415666456
2017,01,54,Professional Services,100764,8464,7103947,19528856,70500.84355523798,2307.2844990548206
2017,01,55,Management,23952,563,1960120,1595319,81835.33734134937,2833.6039076376555
2017,01,56,Administrative Services,149802,3752,4449142,8935748,29700.150865809534,2381.595948827292
2017,01,61,Educational Services,26646,803,769747,1474739,28887.900622982812,1836.5367372353674
2017,01,62,Health Care,216305,7871,9363572,24574477,43288.74505906012,3122.1543641214585
2017,01,71,Arts and Recreation,18959,1067,335782,1149003,17710.955219157127,1076.8537956888472
2017,01,72,Food Services,189746,6257,2795461,9968174,14732.647855554267,1593.1235416333707
2017,01,81,Other Services,32283,4338,1036308,3980824,32100.734132515565,917.6634393729829
2017,02,11,Agriculture,488,463,37274,264112,76381.14754098361,570.4362850971922
2017,02,21,Mining,10301,144,1117187,11874687,108454.22774487914,82463.10416666667
2017,02,22,Utilities,2051,49,200088,1699280,97556.31399317406,34679.183673469386
2017,02,23,Construction,18436,2433,1270795,5241052,68930.08244738555,2154.1520756267983
2017,02,31-33,Manufacturing,11034,455,543611,8160618,49266.90230197571,17935.424175824177
2017,02,42,Wholesale Trade,9325,558,571301,8931331,61265.52278820375,16005.969534050178
2017,02,44-45,Retail Trade,33943,1766,1084232,10519312,31942.72751377309,5956.575311438279
2017,02,48-49,Transportation,17986,909,1315413,5478795,73135.38307572556,6027.277227722772
2017,02,51,Information,6125,193,390792,2062372,63802.77551020408,10685.865284974094
2017,02,52,Finance and Insurance,6412,393,448577,1542574,69958.98315658141,3925.124681933842
2017,02,53,Real Estate,4998,848,220472,1190373,44112.04481792717,1403.7417452830189
2017,02,54,Professional Services,17538,1784,1247444,3150567,71128.0647736344,1766.0128923766815
2017,02,55,Management,5677,133,608026,179710,107103.39968293112,1351.203007518797
2017,02,56,Administrative Services,18315,982,745530,2047932,40705.978705978705,2085.4704684317717
2017,02,61,Educational Services,3071,249,81596,171228,26569.846955389123,687.6626506024096
2017,02,62,Health Care,44879,2113,2547110,6503375,56755.05247443125,3077.7922385234265
2017,02,71,Arts and Recreation,5082,520,96896,450321,19066.50924832743,866.001923076923
2017,02,72,Food Services,29660,1840,764303,2555944,25768.813216453134,1389.1
2017,02,81,Other Services,4636,763,161187,864168,34768.550474547024,1132.5923984272608
2017,04,11,Agriculture,14142,297,194480,500134,13751.944562296705,1683.952861952862
2017,04,21,Mining,10431,140,678919,6233198,65086.66474930495,44522.84285714286
2017,04,22,Utilities,11540,164,1186448,7382473,102811.78509532062,45015.079268292684
2017,04,23,Construction,164442,12159,8192398,41077969,49819.37704479391,3378.400279628259
2017,04,31-33,Manufacturing,146682,4134,9372427,56003456,63896.23130309104,13547.038219641992
2017,04,42,Wholesale Trade,102483,5285,6561922,107400717,64029.37072490071,20321.800756859036
