company,month_announced,job_cuts,reason,naics_label,naics_code_2017
HSBC ​Holdings,March,"20,000",AI restructuring,Finance and Insurance,52
Amazon,January,"16,000",AI restructuring,Retail Trade,44-45
HP Inc,November,"5,000",AI restructuring,Manufacturing,31-33
Mizuho,February,"5,000",AI restructuring,Finance and Insurance,52
Dow,January,"4,500",AI restructuring,Manufacturing,31-33
Block,February,"4,000",AI restructuring,Finance and Insurance,52
SEB,February,"2,100",AI restructuring,Finance and Insurance,52
Wisetech,February,"2,000",AI restructuring,Information,51
Allianz,November,"1,800",AI restructuring,Finance and Insurance,52
Atlassian,March,"1,600",AI restructuring,Information,51
Proximus,February,"1,200",AI restructuring,Information,51
"Meta, Reality Labs",January,"1,000",AI restructuring,Information,51
Snap,April,"1,000",AI restructuring,Information,51
Autodesk,January,"1,000",AI & cloud restructuring,Information,51
Nike,January,775,Profit push and automation,Manufacturing,31-33
Telstra,February,650,AI restructuring,Information,51
"Meta, Superintelligence Labs",October,600,Downsizing in AI division,Information,51
Danske Bank,February,420,Cuts due ​to automation ⁠and efficiencies,Finance and Insurance,52
Meta,March,8000,AI restructuring,Information,51
Pinterest,January,675,AI restructuring,Information,51
Agora,December,166,Nearly 7% ​of workforce; digital restructuring,Information,51
MercadoLibre,January,119,AI restructuring,Retail Trade,44-45
British American Tobacco,February,Not specified,AI restructuring,Manufacturing,31-33
