year,n_firms,n_emp,payroll,revenue,NAICS2017,state,payroll_per_emp,ai_firms_did_not_use,ai_firms_tested_but_did_not_use_in_production_or_service,ai_firms_low_use,ai_firms_moderate_use,ai_firms_high_use,ai_firms_dont_know,ai_firms_any_use,ai_firms_total,ai_adoption_rate,high_ai
2017,68829,1623751,68104199,444283064,00,01,41.94251396919848,51572,179,696,803,356,4244,1855,59705,0.031069424671300562,High AI adoption
2017,839,6942,272484,1387005,11,01,39.25151253241141,0,0,0,0,0,0,0,0,NA,NA
2017,160,5174,353759,2312798,21,01,68.37243911867027,54,0,0,0,0,0,0,54,0,High AI adoption
2017,7474,82349,3934806,21888777,23,01,47.7820738563917,6569,0,0,0,0,244,0,6813,0,High AI adoption
2017,110,13552,1308714,9627018,22,01,96.5698051948052,28,0,0,0,0,0,0,28,0,High AI adoption
2017,4000,73212,4002769,78145913,42,01,54.67367371469158,3326,0,37,131,0,332,168,3994,0.04206309464196294,High AI adoption
2017,798,38168,2279532,12059681,51,01,59.72364284217145,467,0,18,0,0,54,18,557,0.03231597845601436,High AI adoption
2017,3166,22785,928097,6372675,53,01,40.73280667105552,2730,0,0,0,0,0,0,2730,0,High AI adoption
2017,3091,74267,4894220,28298081,52,01,65.90033258378553,1988,0,112,0,0,175,112,2387,0.0469208211143695,High AI adoption
2017,8464,100764,7103947,19528856,54,01,70.50084355523798,6380,0,73,254,0,489,327,7523,0.043466702113518545,High AI adoption
2017,563,23952,1960120,1595319,55,01,81.83533734134936,290,0,59,0,0,26,59,434,0.1359447004608295,High AI adoption
2017,803,26646,769747,1474739,61,01,28.887900622982812,315,0,0,0,0,0,0,315,0,High AI adoption
2017,1067,18959,335782,1149003,71,01,17.710955219157128,456,0,0,0,0,0,0,456,0,High AI adoption
2017,4338,32283,1036308,3980824,81,01,32.10073413251556,3456,0,0,0,0,432,0,3888,0,High AI adoption
2017,7871,216305,9363572,24574477,62,01,43.288745059060126,5618,0,0,0,0,491,0,6109,0,High AI adoption
2017,175,273,6822,0,99,01,24.98901098901099,114,0,0,0,0,0,0,114,0,High AI adoption
2017,3752,149802,4449142,8935748,56,01,29.700150865809537,3029,0,0,0,0,211,0,3240,0,High AI adoption
2017,6257,189746,2795461,9968174,72,01,14.732647855554267,4208,0,0,0,0,343,0,4551,0,High AI adoption
2017,16193,249977,13452268,72887752,00,02,53.81402289010589,11675,18,181,175,62,578,418,13107,0.03189135576409552,High AI adoption
2017,49,2051,200088,1699280,22,02,97.55631399317406,19,0,0,0,0,0,0,19,0,High AI adoption
2017,144,10301,1117187,11874687,21,02,108.45422774487913,68,0,0,0,0,0,0,68,0,High AI adoption
2017,463,488,37274,264112,11,02,76.3811475409836,0,0,0,0,0,0,0,0,NA,NA
2017,2433,18436,1270795,5241052,23,02,68.93008244738554,1920,0,0,0,0,0,0,1920,0,High AI adoption
2017,558,9325,571301,8931331,42,02,61.265522788203754,307,0,0,0,0,71,0,378,0,High AI adoption
2017,193,6125,390792,2062372,51,02,63.80277551020408,95,0,0,0,0,0,0,95,0,High AI adoption
2017,393,6412,448577,1542574,52,02,69.95898315658141,299,0,0,0,0,0,0,299,0,High AI adoption
2017,1784,17538,1247444,3150567,54,02,71.12806477363439,1436,0,0,40,0,56,40,1572,0.02544529262086514,High AI adoption
2017,848,4998,220472,1190373,53,02,44.11204481792717,0,0,0,0,0,0,0,0,NA,NA
2017,249,3071,81596,171228,61,02,26.569846955389124,0,0,0,0,0,0,0,0,NA,NA
2017,520,5082,96896,450321,71,02,19.06650924832743,378,0,0,0,0,0,0,378,0,High AI adoption
2017,2113,44879,2547110,6503375,62,02,56.755052474431245,1510,0,0,0,0,0,0,1510,0,High AI adoption
2017,763,4636,161187,864168,81,02,34.76855047454702,734,0,0,0,0,0,0,734,0,High AI adoption
2017,1840,29660,764303,2555944,72,02,25.768813216453136,1380,0,0,0,0,0,0,1380,0,High AI adoption
2017,23,21,434,0,99,02,20.666666666666668,0,0,0,0,0,0,0,0,NA,NA
2017,982,18315,745530,2047932,56,02,40.70597870597871,663,0,0,0,0,0,0,663,0,High AI adoption
2017,133,5677,608026,179710,55,02,107.10339968293113,119,0,0,0,0,0,0,119,0,High AI adoption
2017,106063,2418712,110648508,572918283,00,04,45.74687188884001,77752,482,1651,755,471,4457,2877,88445,0.03252869014641868,High AI adoption
2017,14977,475719,35446392,201272872,00,11,74.5111967358882,7671,109,480,256,66,918,802,10302,0.07784896136672491,High AI adoption
2017,140,10431,678919,6233198,21,04,65.08666474930496,81,0,0,0,0,0,0,81,0,High AI adoption
2017,482,11026,679298,3229878,23,11,61.60874297115908,411,0,0,0,0,0,0,411,0,High AI adoption
2017,329,4694,378651,5197285,42,11,80.66702172986791,138,0,0,0,0,24,0,162,0,High AI adoption
2017,508,22660,2643165,10805819,51,11,116.64452780229479,205,0,0,0,0,42,0,247,0,High AI adoption
2017,297,14142,194480,500134,11,04,13.751944562296705,0,0,0,0,0,0,0,0,NA,NA
2017,507,20054,3016108,101387276,52,11,150.39932183105614,209,0,0,0,0,80,0,289,0,High AI adoption
2017,164,11540,1186448,7382473,22,04,102.81178509532063,121,0,0,0,0,0,0,121,0,High AI adoption
2017,12159,164442,8192398,41077969,23,04,49.81937704479391,10454,0,124,0,0,648,124,11350,0.01092511013215859,High AI adoption
2017,5285,102483,6561922,107400717,42,04,64.02937072490072,3982,18,71,28,0,263,99,4461,0.02219233355749832,High AI adoption
2017,30,2158,321347,2319442,22,11,148.90963855421685,14,0,0,0,0,0,0,14,0,High AI adoption
2017,4803,118111,14226315,38252343,54,11,120.44868809848363,2914,72,224,211,0,213,435,4069,0.10690587367903662,High AI adoption
2017,577,52140,2778081,4672720,61,11,53.28118527042578,0,0,0,0,0,0,0,0,NA,NA
2017,20,8,397,0,99,11,49.625,0,0,0,0,0,0,0,0,NA,NA
2017,850,12163,936867,4407812,53,11,77.0259804324591,373,0,0,0,0,0,0,373,0,High AI adoption
2017,1687,67992,4092577,10634443,62,11,60.19203729850571,575,0,0,0,0,0,0,575,0,High AI adoption
2017,646,7957,232307,848714,81,11,29.195299736081438,341,0,0,0,0,0,0,341,0,High AI adoption
2017,1518,59384,3947075,19504576,51,04,66.46697763707395,945,0,29,35,0,162,64,1235,0.051821862348178135,High AI adoption
2017,297,9125,815901,1630640,71,11,89.41380821917808,193,0,0,0,0,0,0,193,0,High AI adoption
2017,5309,170625,12278832,86760511,52,04,71.96385054945056,3961,18,224,107,0,222,331,4863,0.06806498046473371,High AI adoption
2017,7761,46683,2136260,12856879,53,04,45.760983655720494,5953,0,0,0,0,336,0,6289,0,High AI adoption
2017,2011,74943,2006517,6296017,72,11,26.77390817020936,1232,0,0,0,0,0,0,1232,0,High AI adoption
2017,750,36654,1500632,3146330,56,11,40.940470344300756,391,0,0,0,0,0,0,391,0,High AI adoption
2017,16808,146402,10501121,23878892,54,04,71.72798868867912,12484,89,541,192,96,700,829,14931,0.05552206818029603,High AI adoption
2017,47903,1020055,41052693,272169481,00,05,40.245568131130184,37110,112,660,338,233,2994,1231,42678,0.028843900838839684,High AI adoption
2017,7429,258670,8953742,17446119,56,04,34.61453589515599,4991,0,0,0,0,0,0,4991,0,High AI adoption
2017,740,5641,218475,863950,11,05,38.72983513561425,473,0,0,0,0,0,0,473,0,High AI adoption
2017,1920,61195,2364756,3792103,61,04,38.64296102622763,1011,0,0,0,0,0,0,1011,0,High AI adoption
2017,1792,42558,1652933,3891530,71,04,38.83953663236054,870,0,0,0,0,0,0,870,0,High AI adoption
2017,5387,49169,2242770,11279413,23,05,45.61349630864976,3857,0,0,0,0,0,0,3857,0,High AI adoption
2017,14047,354685,16713059,44222983,62,04,47.120850895865345,9548,0,302,0,0,713,302,10865,0.027795674183156927,High AI adoption
2017,138,7118,637863,5289917,22,05,89.61267209890418,28,0,0,0,0,0,0,28,0,High AI adoption
2017,6648,55062,1824111,6722475,81,04,33.128309905197774,4997,0,0,0,0,135,0,5132,0,High AI adoption
2017,8668,287425,5214806,18052166,72,04,18.14318865791076,6655,0,0,0,0,345,0,7000,0,High AI adoption
2017,2644,56196,2802544,83819711,42,05,49.87088048971457,2313,0,39,20,0,154,59,2585,0.022823984526112187,High AI adoption
2017,742139,15003723,924024313,4557334416,00,06,61.58633513828534,535559,4268,10405,7378,3383,36518,21166,618677,0.034211713058671975,High AI adoption
2017,500,21704,1395134,7496093,51,05,64.28004054552156,451,0,0,0,0,56,0,507,0,High AI adoption
2017,494,17375,1494876,13529656,21,06,86.03602877697841,288,0,0,0,0,0,0,288,0,High AI adoption
2017,525,62027,7646052,44418095,22,06,123.26973737243459,214,0,0,0,0,35,0,249,0,High AI adoption
2017,2434,11010,407783,2819484,53,05,37.03751135331517,1612,0,0,0,0,0,0,1612,0,High AI adoption
2017,3173,141503,4071714,11233463,11,06,28.77475389214363,2285,0,0,0,0,0,0,2285,0,High AI adoption
2017,5481,39469,2151152,5813929,54,05,54.50231827510198,4193,0,170,29,0,506,199,5097,0.039042574063174414,High AI adoption
2017,307,44985,4075419,974050,55,05,90.59506502167389,141,0,20,0,0,72,20,253,0.07905138339920949,High AI adoption
2017,74390,827026,49179920,235854698,23,06,59.46599018652376,56254,0,568,613,0,2747,1181,61363,0.019246125515375714,High AI adoption
2017,2462,69311,1790407,4163999,56,05,25.831498607724605,1775,0,0,0,0,100,0,1875,0,High AI adoption
2017,580,16780,403033,979393,61,05,24.01865315852205,306,0,0,0,0,0,0,306,0,High AI adoption
2017,5887,169759,6909921,17438847,62,05,40.70429844662139,4754,0,0,0,0,335,0,5089,0,High AI adoption
2017,787,10022,217687,1016185,71,05,21.720913989223707,0,0,0,0,0,0,0,0,NA,NA
2017,2840,17837,509253,1882444,81,05,28.550372820541572,2252,0,0,0,0,0,0,2252,0,High AI adoption
2017,182,342,7989,0,99,05,23.359649122807017,133,0,0,0,0,0,0,133,0,High AI adoption
