year,state,naics_sector,tech_type,use_level,used_tech,n_firms,n_emp,revenue,payroll
2018,01,Total,specialized software,"Tested, but did not use in production or service",Tested only,253,13853,0,899625
2018,01,Total,specialized software,Did not use,Did not use,30912,427265,0,17464089
2018,01,Total,specialized software,Low use,Used,4191,119682,0,5254931
2018,01,Total,specialized software,Moderate use,Used,7449,278957,0,12884444
2018,01,Total,specialized software,High use,Used,10974,395031,0,18226943
2018,01,Total,specialized software,Don't know,Unknown,4056,182545,0,10414926
2018,01,Total,robotics,Did not use,Did not use,53464,987330,0,41886853
2018,01,Total,robotics,"Tested, but did not use in production or service",Tested only,89,14785,0,907363
2018,01,Total,robotics,Low use,Used,516,105873,0,5259355
2018,01,Total,robotics,Moderate use,Used,755,71224,0,4795437
2018,01,Total,robotics,High use,Used,443,81388,0,3083831
2018,01,Total,robotics,Don't know,Unknown,2849,160020,0,9371035
2018,01,Total,specialized equipment,Did not use,Did not use,42773,697050,0,29209272
2018,01,Total,specialized equipment,"Tested, but did not use in production or service",Tested only,0,0,0,0
2018,01,Total,artificial intelligence,Did not use,Did not use,51572,993076,0,41888320
2018,01,Total,artificial intelligence,"Tested, but did not use in production or service",Tested only,179,47369,0,2376492
2018,01,Total,artificial intelligence,Low use,Used,696,138906,0,6588094
2018,01,Total,artificial intelligence,Moderate use,Used,803,40272,0,2793976
2018,01,Total,artificial intelligence,High use,Used,356,16917,0,834154
2018,01,Total,artificial intelligence,Don't know,Unknown,4244,180836,0,10666291
2018,01,Total,cloud-based,Moderate use,Used,6250,370470,0,18055620
2018,01,Total,cloud-based,Did not use,Did not use,35983,459993,0,18898912
2018,01,Total,cloud-based,"Tested, but did not use in production or service",Tested only,447,16790,0,1094199
2018,01,Total,cloud-based,Low use,Used,5693,162832,0,7091696
2018,01,Total,cloud-based,High use,Used,5505,253571,0,10989185
2018,01,Total,cloud-based,Don't know,Unknown,4260,156810,0,9195113
2018,01,Total,specialized equipment,Low use,Used,2583,140557,0,6206452
2018,01,Total,specialized equipment,Moderate use,Used,4442,154376,0,7893356
2018,01,Total,specialized equipment,High use,Used,3534,214684,0,10350287
2018,01,Total,specialized equipment,Don't know,Unknown,4675,205879,0,11403667
2018,02,Total,artificial intelligence,Did not use,Did not use,11675,166842,0,9600651
2018,02,Total,artificial intelligence,"Tested, but did not use in production or service",Tested only,18,1197,0,66532
2018,02,Total,artificial intelligence,Low use,Used,181,8915,0,523426
2018,02,Total,artificial intelligence,Moderate use,Used,175,5137,0,822184
2018,02,Total,artificial intelligence,High use,Used,62,130,0,9409
2018,02,Total,artificial intelligence,Don't know,Unknown,578,40299,0,2386440
2018,02,Total,cloud-based,Did not use,Did not use,7170,72171,0,3511496
2018,02,Total,cloud-based,"Tested, but did not use in production or service",Tested only,85,6225,0,558498
2018,02,Total,cloud-based,Low use,Used,1588,25852,0,1314412
2018,02,Total,cloud-based,Moderate use,Used,1791,61572,0,4313315
2018,02,Total,cloud-based,High use,Used,1458,39439,0,2595143
2018,02,Total,cloud-based,Don't know,Unknown,684,17595,0,1130184
2018,02,Total,specialized software,Did not use,Did not use,6770,77957,0,4183153
2018,02,Total,specialized software,"Tested, but did not use in production or service",Tested only,82,513,0,24743
2018,02,Total,specialized software,Low use,Used,1192,18160,0,728078
2018,02,Total,specialized software,Moderate use,Used,1642,43896,0,2834506
2018,02,Total,specialized software,High use,Used,2178,60095,0,4301735
2018,02,Total,specialized software,Don't know,Unknown,816,21844,0,1334337
2018,02,Total,robotics,Moderate use,Used,137,13835,0,1419076
2018,02,Total,robotics,Did not use,Did not use,11878,162644,0,9320538
2018,02,Total,robotics,"Tested, but did not use in production or service",Tested only,25,2012,0,231187
2018,02,Total,robotics,Low use,Used,151,9317,0,806050
2018,02,Total,robotics,High use,Used,0,0,0,0
2018,02,Total,robotics,Don't know,Unknown,467,30526,0,1483851
2018,02,Total,specialized equipment,Did not use,Did not use,9102,112111,0,6193846
2018,02,Total,specialized equipment,"Tested, but did not use in production or service",Tested only,0,0,0,0
2018,02,Total,specialized equipment,Low use,Used,1082,19685,0,1132957
2018,02,Total,specialized equipment,Moderate use,Used,819,35311,0,2304589
2018,02,Total,specialized equipment,High use,Used,834,24472,0,2014985
2018,02,Total,specialized equipment,Don't know,Unknown,917,30798,0,1721866
2018,04,Total,artificial intelligence,Did not use,Did not use,77752,1231055,0,53186984
2018,04,Total,artificial intelligence,"Tested, but did not use in production or service",Tested only,482,44127,0,1634945
2018,04,Total,artificial intelligence,Low use,Used,1651,140856,0,7063075
2018,04,Total,artificial intelligence,Moderate use,Used,755,90962,0,7152271
2018,04,Total,artificial intelligence,High use,Used,471,10824,0,725291
2018,04,Total,artificial intelligence,Don't know,Unknown,4457,291691,0,15244495
2018,04,Total,cloud-based,Did not use,Did not use,48392,545382,0,22477702
2018,04,Total,cloud-based,"Tested, but did not use in production or service",Tested only,580,12101,0,604976
2018,04,Total,cloud-based,Low use,Used,10227,220076,0,11020320
2018,04,Total,cloud-based,Moderate use,Used,11995,441500,0,21433761
2018,04,Total,cloud-based,High use,Used,10496,337880,0,15312636
2018,04,Total,cloud-based,Don't know,Unknown,4414,257119,0,14334400
2018,04,Total,specialized software,Did not use,Did not use,43050,480115,0,20533814
2018,04,Total,specialized software,"Tested, but did not use in production or service",Tested only,743,11906,0,616898
2018,04,Total,specialized software,Low use,Used,7553,136923,0,6073351
2018,04,Total,specialized software,Moderate use,Used,12332,399676,0,19146382
2018,04,Total,specialized software,High use,Used,17306,523319,0,23683468
2018,04,Total,specialized software,Don't know,Unknown,4550,257454,0,14948276
2018,04,Total,robotics,Did not use,Did not use,81173,1284916,0,54439542
2018,04,Total,robotics,Moderate use,Used,536,76898,0,6558808
2018,04,Total,robotics,"Tested, but did not use in production or service",Tested only,124,28163,0,1562693
2018,04,Total,robotics,Low use,Used,1011,88055,0,5291366
2018,04,Total,robotics,High use,Used,490,71878,0,2909488
2018,04,Total,robotics,Don't know,Unknown,2883,265125,0,14479280
2018,04,Total,specialized equipment,Did not use,Did not use,64740,930173,0,39005471
2018,04,Total,specialized equipment,"Tested, but did not use in production or service",Tested only,296,22172,0,1336985
2018,04,Total,specialized equipment,Low use,Used,5376,116881,0,5356434
2018,04,Total,specialized equipment,Moderate use,Used,6294,207857,0,11737285
2018,04,Total,specialized equipment,High use,Used,5366,206745,0,9968508
2018,04,Total,specialized equipment,Don't know,Unknown,4067,330175,0,17772552
2018,05,Total,artificial intelligence,Did not use,Did not use,37110,534626,0,20463233
2018,05,Total,artificial intelligence,"Tested, but did not use in production or service",Tested only,112,14057,0,738277
2018,05,Total,artificial intelligence,Low use,Used,660,125326,0,8181381
2018,05,Total,artificial intelligence,Moderate use,Used,338,21763,0,1172964
2018,05,Total,artificial intelligence,High use,Used,233,6003,0,501798
2018,05,Total,artificial intelligence,Don't know,Unknown,2994,143108,0,5603087
2018,05,Total,cloud-based,Did not use,Did not use,25994,275337,0,10183193
2018,05,Total,cloud-based,"Tested, but did not use in production or service",Tested only,528,13527,0,735772
2018,05,Total,cloud-based,Low use,Used,4368,103303,0,4579149
2018,05,Total,cloud-based,Moderate use,Used,4327,129341,0,5919783
2018,05,Total,cloud-based,High use,Used,3694,194038,0,10259115
2018,05,Total,cloud-based,Don't know,Unknown,2659,129860,0,4993414
2018,05,Total,specialized software,Did not use,Did not use,22841,262173,0,10035385
2018,05,Total,specialized software,High use,Used,7227,256920,0,13579946
2018,05,Total,specialized software,"Tested, but did not use in production or service",Tested only,118,1613,0,78752
2018,05,Total,specialized software,Low use,Used,2842,51492,0,2006120
2018,05,Total,specialized software,Moderate use,Used,5540,133827,0,5519777
2018,05,Total,specialized software,Don't know,Unknown,2838,138719,0,5434929
2018,05,Total,robotics,Did not use,Did not use,38036,509347,0,19941113
2018,05,Total,robotics,"Tested, but did not use in production or service",Tested only,71,9516,0,487116
2018,05,Total,robotics,Low use,Used,699,55751,0,2559342
2018,05,Total,robotics,Moderate use,Used,758,36722,0,1990141
2018,05,Total,robotics,High use,Used,315,94723,0,6495024
2018,05,Total,robotics,Don't know,Unknown,1745,139611,0,5207556
2018,05,Total,specialized equipment,Did not use,Did not use,30565,360131,0,14021155
2018,05,Total,specialized equipment,"Tested, but did not use in production or service",Tested only,0,0,0,0
2018,05,Total,specialized equipment,Low use,Used,2054,63704,0,2502796
2018,05,Total,specialized equipment,Moderate use,Used,3082,93223,0,3997696
2018,05,Total,specialized equipment,High use,Used,2921,160266,0,9618149
2018,05,Total,specialized equipment,Don't know,Unknown,2858,166067,0,6471769
2018,06,Total,artificial intelligence,Did not use,Did not use,535559,7879748,0,419244242
2018,06,Total,artificial intelligence,"Tested, but did not use in production or service",Tested only,4268,236284,0,19285532
2018,06,Total,artificial intelligence,Low use,Used,10405,694672,0,58896689
2018,06,Total,artificial intelligence,Moderate use,Used,7378,422032,0,49415060
2018,06,Total,artificial intelligence,High use,Used,3383,121154,0,18042985
2018,06,Total,artificial intelligence,Don't know,Unknown,36518,1908619,0,177004255
2018,06,Total,cloud-based,Did not use,Did not use,350415,4021857,0,187975382
2018,06,Total,cloud-based,"Tested, but did not use in production or service",Tested only,6330,108322,0,7487830
2018,06,Total,cloud-based,Low use,Used,62779,1073717,0,65046636
2018,06,Total,cloud-based,Moderate use,Used,74209,2337540,0,155169543
2018,06,Total,cloud-based,High use,Used,70133,2216353,0,185466118
2018,06,Total,cloud-based,Don't know,Unknown,37349,1539008,0,142720118
2018,06,Total,specialized software,Did not use,Did not use,321609,3687855,0,171024913
2018,06,Total,specialized software,"Tested, but did not use in production or service",Tested only,4310,84062,0,4234597
2018,06,Total,specialized software,Low use,Used,47200,658468,0,41290015
2018,06,Total,specialized software,Moderate use,Used,83658,2105133,0,147393772
2018,06,Total,specialized software,High use,Used,102413,2947626,0,215223062
2018,06,Total,specialized software,Don't know,Unknown,38351,1779671,0,162723358
2018,06,Total,robotics,Did not use,Did not use,560067,8067976,0,438016994
2018,06,Total,robotics,High use,Used,1969,291936,0,24510903
2018,06,Total,robotics,"Tested, but did not use in production or service",Tested only,1454,151312,0,14713303
2018,06,Total,robotics,Low use,Used,6070,656349,0,58907441
2018,06,Total,robotics,Moderate use,Used,4222,440398,0,45186924
2018,06,Total,robotics,Don't know,Unknown,27577,1693799,0,162536977
2018,06,Total,specialized equipment,Did not use,Did not use,453214,5875251,0,310991260
2018,06,Total,specialized equipment,"Tested, but did not use in production or service",Tested only,2216,57314,0,4044173
2018,06,Total,specialized equipment,Low use,Used,32360,765000,0,45655055
2018,06,Total,specialized equipment,Moderate use,Used,41769,1228676,0,96251640
2018,06,Total,specialized equipment,High use,Used,34729,1144205,0,80091674
2018,06,Total,specialized equipment,Don't know,Unknown,37102,2231388,0,206835376
2018,08,Total,artificial intelligence,Did not use,Did not use,108747,1385677,0,68995515
2018,08,Total,artificial intelligence,"Tested, but did not use in production or service",Tested only,704,39592,0,2790276
2018,08,Total,artificial intelligence,Low use,Used,2435,157864,0,8406265
2018,08,Total,artificial intelligence,Moderate use,Used,1701,61111,0,5331213
2018,08,Total,artificial intelligence,High use,Used,582,12057,0,1062610
2018,08,Total,artificial intelligence,Don't know,Unknown,5557,254526,0,14959858
