state,naics2017,firms_using_artificial_intelligence,firms_using_cloud_based,firms_using_robotics,firms_using_specialized_equipment,firms_using_specialized_software,emp_using_artificial_intelligence,emp_using_cloud_based,emp_using_robotics,emp_using_specialized_equipment,emp_using_specialized_software
01,00,1855,17448,1714,10559,22614,196095,786873,258485,509617,793670
01,11,0,0,0,0,0,0,0,0,0,0
01,21,0,0,0,0,0,0,0,0,0,0
01,22,0,0,0,0,0,0,0,0,0,0
01,23,0,1475,0,1162,1985,0,30438,0,24205,39719
01,31-33,85,794,396,1030,1320,32874,137779,85396,131964,148246
01,42,168,1358,213,1033,1486,7313,48503,7102,38086,50853
01,44-45,332,2134,71,1560,3143,62581,134496,22477,84865,131471
01,48-49,37,275,22,176,706,14410,18300,11838,16468,46510
01,51,18,308,0,116,356,3897,17457,0,10282,16051
01,52,112,1307,14,18,1131,10805,42577,10436,2230,21256
01,53,0,682,0,0,745,0,6103,0,0,5548
01,54,327,3557,295,1300,4576,12920,48911,11716,28205,54650
01,55,59,289,17,63,170,2222,18549,1601,5031,7357
01,56,0,670,0,232,823,0,87013,0,15548,82704
01,61,0,0,0,0,0,0,0,0,0,0
01,62,0,1766,0,1328,2621,0,38559,0,31976,48394
01,71,0,0,0,0,0,0,0,0,0,0
01,72,0,939,0,72,875,0,55087,0,7829,48980
01,81,0,338,0,517,1421,0,5945,0,11789,20881
01,99,0,0,0,0,0,0,0,0,0,0
02,00,418,4837,288,2735,5012,14182,126863,23152,79468,122151
02,11,0,0,0,0,0,0,0,0,0,0
02,21,0,0,0,0,0,0,0,0,0,0
02,22,0,0,0,0,0,0,0,0,0,0
02,23,0,257,0,0,0,0,4759,0,0,0
02,31-33,0,83,0,107,85,0,5205,0,4916,5012
02,42,0,69,0,71,121,0,2260,0,2097,1689
02,44-45,0,161,0,0,416,0,13942,0,0,9829
02,48-49,0,178,0,60,193,0,11397,0,10654,14758
02,51,0,58,0,25,65,0,1410,0,605,1407
02,52,0,148,0,0,61,0,904,0,0,1849
02,53,0,270,0,0,266,0,2024,0,0,1792
02,54,40,934,15,242,992,439,11776,483,6232,11193
02,55,0,72,0,0,19,0,1867,0,0,1202
02,56,0,185,0,0,205,0,14241,0,0,14229
02,61,0,0,0,0,0,0,0,0,0,0
02,62,0,600,0,596,868,0,15886,0,15820,18422
02,71,0,0,0,0,0,0,0,0,0,0
02,72,0,0,0,0,0,0,0,0,0,0
02,81,0,0,0,0,0,0,0,0,0,0
02,99,0,0,0,0,0,0,0,0,0,0
04,00,2877,32718,2037,17036,37191,242642,999456,236831,531483,1059918
04,11,0,0,0,0,0,0,0,0,0,0
04,21,0,0,0,0,0,0,0,0,0,0
04,22,0,0,0,0,0,0,0,0,0,0
04,23,124,3100,0,2186,3276,1354,49578,0,43109,54117
04,31-33,82,1199,336,1356,1446,36736,77681,57973,81362,87074
04,42,99,916,274,766,1173,10857,31316,15692,27859,37200
04,44-45,39,1988,25,1329,2396,69803,181322,18407,112150,147629
04,48-49,80,711,42,463,803,19238,51183,8561,28647,50403
04,51,64,772,0,253,790,10685,35399,0,19822,33496
04,52,331,2220,84,107,2676,22820,52210,12917,7066,52448
04,53,0,2974,0,0,2442,0,18605,0,0,15688
04,54,829,7989,246,2225,8413,15065,62662,10452,23996,67806
04,55,25,253,36,71,303,2084,21703,4889,11360,19828
04,56,0,1890,0,779,2093,0,161594,0,26014,174793
04,61,0,140,0,0,235,0,17760,0,0,17503
04,62,302,4444,0,3777,5704,4727,87068,0,53715,97477
04,71,0,169,0,0,0,0,5725,0,0,0
04,72,0,2011,0,936,2173,0,95088,0,24495,124301
04,81,0,975,0,1477,1802,0,10003,0,29903,36028
04,99,0,0,0,0,0,0,0,0,0,0
05,00,1231,12389,1772,8057,15609,153092,426682,187196,317193,442239
05,11,0,0,0,0,0,0,0,0,0,0
05,21,0,0,0,0,0,0,0,0,0,0
05,22,0,0,0,0,0,0,0,0,0,0
05,23,0,594,0,534,814,0,14781,0,6247,18139
05,31-33,64,468,304,844,727,23856,65509,55341,71729,72112
05,42,59,855,332,602,861,1893,10203,4058,7811,10860
05,44-45,122,1275,61,1084,1752,44616,92668,10132,72041,86880
05,48-49,0,397,0,289,510,0,27965,0,25127,31781
05,51,0,331,0,66,230,0,14914,0,6352,11862
05,52,42,835,18,18,727,3434,13242,2644,2749,18914
05,53,0,348,0,0,560,0,2395,0,0,4257
05,54,199,2319,34,865,2781,2694,15684,1159,7812,18145
05,55,20,127,0,53,63,31938,44216,0,34775,37559
05,56,0,661,0,178,722,0,19229,0,5814,19779
05,61,0,0,0,0,0,0,0,0,0,0
05,62,0,2406,0,1899,2834,0,42264,0,20690,35136
05,71,0,0,0,0,0,0,0,0,0,0
05,72,0,808,0,0,455,0,39150,0,0,18721
05,81,0,100,0,0,0,0,891,0,0,0
05,99,0,0,0,0,0,0,0,0,0,0
06,00,21166,207121,12261,108858,233271,1237858,5627610,1388683,3137881,5711227
06,11,0,254,0,432,340,0,9361,0,12561,24074
06,21,0,103,0,68,112,0,6308,0,3565,7830
06,22,0,159,0,24,47,0,4170,0,642,29743
06,23,1181,16488,406,12280,17042,16204,274058,16869,193415,282508
06,31-33,985,9193,2583,11490,12554,130245,443792,300580,514761,539817
06,42,1215,12279,1386,6460,12565,78340,302776,111010,222150,307973
06,44-45,990,13767,886,7720,15804,258468,770004,129298,490808,690611
06,48-49,472,4416,180,2550,4996,107898,283903,111662,221405,264549
06,51,797,6205,299,3258,6969,143048,324934,71803,168610,302645
06,52,1006,11605,213,1225,12645,55715,208671,34986,24370,211009
06,53,1149,14005,0,2165,14815,7514,112058,0,12179,115685
06,54,6381,52259,2652,14792,55134,189123,576307,170851,270453,576950
06,55,129,858,180,434,858,42495,113180,53128,59772,105619
06,56,964,10724,222,5224,10599,50265,753442,30477,140600,763282
06,61,0,3151,0,0,3278,0,74285,0,0,68487
06,62,2543,26109,1646,22134,34169,25364,522017,115359,344304,544976
06,71,0,6703,0,2247,7765,0,129541,0,49383,144773
06,72,1223,12600,409,6769,13961,42103,513906,34969,235016,545829
06,81,460,6383,407,9516,10526,7827,127002,12033,108042,146409
06,99,0,0,0,0,0,0,0,0,0,0
08,00,4718,49849,2272,21693,53830,231032,1103988,265534,602720,1105741
08,11,0,0,0,0,0,0,0,0,0,0
08,21,0,155,0,164,320,0,8635,0,6452,10303
08,22,0,0,0,0,0,0,0,0,0,0
08,23,0,5130,0,3274,4869,0,79452,0,53116,81229
08,31-33,128,1606,454,1815,1780,9273,52203,30065,56962,55637
08,42,124,1942,285,1136,2161,9627,36684,14231,30675,38589
08,44-45,271,3521,266,1909,3448,61064,173700,20204,108034,137153
08,48-49,179,980,37,489,1110,28903,45019,16821,31225,36667
08,51,160,1250,50,354,1189,18634,67139,24440,48233,64941
08,52,145,2893,77,241,2902,14876,45936,6034,9670,41731
08,53,708,5543,0,485,5579,1681,22316,0,1630,22899
08,54,1415,13205,721,3545,13784,31137,159274,26365,64890,163687
08,55,31,151,26,144,224,13222,23774,2937,22810,30732
08,56,0,2288,54,964,2312,0,88067,2171,24055,86867
08,61,0,267,0,0,0,0,1192,0,0,0
08,62,0,5292,0,3552,6095,0,92023,0,62362,97257
